"Year","est","se","CV","lo","hi","relSSB"
1980,58290.5235686092,1.09295011324549,0.0890563890160563,48971.4181887598,69383.0251108076,2.34595214242782
1981,53754.35030547,1.09551024778608,0.091410327710827,44953.8417958419,64277.7137910926,2.16338995678267
1982,42154.0308249902,1.09123927957373,0.0874806834656499,35523.6263787526,50021.9852514004,1.69652514459674
1983,35500.9368499095,1.08712653200134,0.0836839628163989,30139.2287176117,41816.4820682621,1.42876566828592
1984,23368.7488024816,1.08177167423458,0.0787216901298988,20032.3040372968,27260.8891906165,0.940495349205651
1985,17858.2908183228,1.08570196810937,0.0823659376676511,15200.1667401863,20981.2534561633,0.718722238890726
1986,12499.9689641228,1.09270211925645,0.0888281152098419,10506.2280159388,14872.0572090184,0.503071977680038
1987,10871.4544917151,1.08798991050098,0.0844820365773542,9215.1886448356,12825.4045924137,0.437531015245163
1988,9255.612462246,1.09228148794729,0.0884408292523428,7785.21801984072,11003.720362482,0.372500066151074
1989,8263.82043458629,1.09336340417268,0.089436715824308,6937.51255495763,9843.69075141847,0.332584544901851
1990,9744.1233038265,1.08966402295166,0.0860279470638487,8234.75332368529,11530.1497480295,0.392160604181001
1991,11216.0954364922,1.08272610219017,0.0796077246413593,9598.12650828003,13106.8075349889,0.451401385817773
1992,14158.8870072737,1.08623660178046,0.0828607651860307,12039.7791826585,16650.9765871367,0.569836557909985
1993,14923.922629757,1.0898345203998,0.0861852717603649,12608.3320210861,17664.784389124,0.600626073044224
1994,13916.1641056829,1.09317859673702,0.0892666640443845,11686.5504873662,16571.1536201939,0.560067966445321
1995,16097.9492402749,1.09961018028371,0.0951701823271085,13364.2344256221,19390.8578291348,0.647875781463295
1996,16801.8431036097,1.09862347332302,0.0942664228665078,13973.1590718014,20203.1573696186,0.676204594032434
1997,15820.9699659382,1.10305512214402,0.0983200887627709,13054.0147044278,19174.4146402882,0.636728512880717
1998,16555.6508745308,1.09612254827578,0.0919726084291571,13830.0527334191,19818.4042506967,0.66629637650584
1999,18325.7451184444,1.10070246620991,0.0961698345370839,15184.1351689765,22117.3567285113,0.737535338340186
2000,25212.7614615963,1.103490463656,0.0987175479384114,20787.1777632919,30580.5505565988,1.01470922109209
2001,25959.3037839043,1.10147781813833,0.0968789156641713,21479.396326308,31373.5750627056,1.04475445749094
2002,20301.0736779067,1.10245000466655,0.0977674047841288,16768.6106828802,24577.682687604,0.817034131323494
2003,14184.983674152,1.10410354594437,0.0992770547681166,11682.3757893615,17223.7022215287,0.570886840663088
2004,12539.2205778122,1.113918199398,0.108198383461543,10149.3858257023,15491.7800346947,0.504651692556335
2005,11462.6556854221,1.11956981667069,0.113305671534547,9186.428479259,14302.8899271567,0.461324414619081
2006,12506.4292924521,1.11111953714121,0.105661237299715,10172.8781728903,15375.2724635908,0.503331979137515
2007,15005.4777490509,1.10456234641218,0.0996955889552184,12348.0540909725,18234.8053238506,0.603908328805886
2008,19745.9842728154,1.1051032532685,0.100188833570497,16233.4470739044,24018.5521366594,0.794694081871371
2009,22918.7800920256,1.15159629356569,0.141855018220403,17379.8169808754,30223.0156672324,0.92238597231736
2010,25261.4181067022,1.17109823845683,0.158932104086784,18536.0535350015,34426.9206795624,1.01666744952857
2011,27742.5689725583,1.18213936494483,0.168503872427159,19985.6685150008,38510.1020073194,1.11652349529887
2012,24911.7032866467,1.18498449649071,0.170959460028285,17861.9655461145,34743.822511567,1.00259287649129
2013,22404.6783289582,1.18734820876134,0.172996199547744,16001.7809202113,31369.6090158357,0.901695505691607
2014,28879.197688624,1.1879183983092,0.173487063239763,20606.5868638818,40472.886880672,1.1622680933631
2015,33670.4392112309,1.18010460721474,0.166744989001348,24338.1285283356,46581.1689406311,1.35509571999471
2016,42213.0522630125,1.1765842903693,0.163696562156368,30692.207800692,58058.4424858365,1.69890051301858
2017,44626.7461075268,1.18069765426192,0.167257865164764,32225.9676924429,61799.4310412183,1.79604169307743
2018,40736.5549841084,1.18620510112585,0.172011595401525,29149.6796607622,56929.16461813,1.63947761298824
2019,27395.3278323474,1.18930767124502,0.174682326616676,19503.050356915,38481.3643664562,1.1025484776297
2020,17914.2262550607,1.20514731971732,0.18823804179348,12426.8856154026,25824.6122358879,0.720973408542658
2021,12558.8360475483,1.20037365454569,0.184166442439722,8779.9490462061,17964.1546937398,0.505441133968678
